Pinyin 拼音,Translation 翻译,Note 笔记,,,,Note 笔记,,,,,,
chī,to eat,,,,,,,,,,,
yào,to want (stronger),,,,,,,,,,,
hē,to drink,,,,,,,,,,,
ná,to take,,,,,,,,,,,
gěi,to give   for    to,,,,,,,,,,,
dǎ kāi / kāi,to open,,,,,,,,,,,
yǒu,to have,,,,,,,,,,,
zhī dao,to know,,,,,,,,,,,
xǐ huan,to like,,,,,,,,,,,
ài,to love,,,,,,,,,,,
shì,to be,,,,,,,,,,,
zuò,to sit    to do/make,,,,,,,,,,,
kàn,to see,,,,,,,,,,,
qù,to go,,,,,,,,,,,
yòng,to use,,,,,,,,,,,
zhǎo,to find,,,,,,,,,,,
gào su,to tell,,,,,,,,,,,
wèn,to ask,,,,,,,,,,,
xiǎng,to think    to want (weaker),,,,,,,,,,,
jué,to think      to feel,,,,,,,,,,,
wǒ yào yī gè píng guǒ,I want an apple,,,,,,,,,,,
wǒ zài chī miàn,I am eating noodles,,,,,,,,,,,
wǒ hē chá,I drink tea,,,,,,,,,,,
qǐng ná shàng zhè běn shū,Please take the book,,,,,,,,,,,
qǐng gěi wǒ…,Please give me…,,,,,,,,,,,
kāi mén,Open the door,,,,,,,,,,,
wǒ yǒu yī gè dì di,I have a younger brother,,,,,,,,,,,
wǒ zhī dao,I know,,,,,,,,,,,
wǒ xǐ huan tā,I like her,,,,,,,,,,,
wǒ ài nĭ,I love you,,,,,,,,,,,
wǒ shì yī gè lǎo shī,I am a teacher,,,,,,,,,,,
měi tiān wǒ dōu zuò wǎn fàn,I make dinner every day,,,,,,,,,,,
dāng wǒ qù tú shū guǎn wǒ xí guàn zuò nà li,I usually sit there when I go to the library,,,,,,,,,,,
wǒ xǐ huan kàn diàn yǐng,I like to watch movies,,,,,,,,,,,
wǒ jīng cháng qù běi jīng,I go to Beijing often,,,,,,,,,,,
wǒ yòng shǒu jī de pín lǜ tài gāo le,I use my mobile phone too much,,,,,,,,,,,
wǒ kě yǐ zhǎo dào nà běn shū,I can find the book,,,,,,,,,,,
gào su wǒ tā de diàn huà hào mǎ,Tell me his phone number,,,,,,,,,,,
qǐng wèn nǐ de péng you,Please ask your friend,,,,,,,,,,,
wǒ jué de hěn qí guài,I think it’s very strange,,,,,,,,,,,
,,,,,,,,,,,,
zhŭn bèi hăo le ma ？,prepare done?,,,,,,,,,,,
(zhŭn bèi) hăo le, (prepare) done,,,,,,,,,,,
hái méi yŏu (zhŭn bèi hăo),still not (prepare done),,,,,,,,,,,
dĕng wŏ yī xià hăo ma ？,wait me a while OK?,,,,,,,,,,,
hăo (de),OK,,,,,,,,,,,
nĭ kàn dé dào wŏ ma ？,you can see me?,,,,,,,,,,,
,,,,,,,,,,,,
kàn dé dào ,can see you,,,,,,,,,,,
kàn bù dào,cannot see you,,,,,,,,,,,
